product_id;product_name;product_SKU;product_status;product_type;delivery_time
"5613";"Apple Watch Series 6 44mm GPS + Cellular (LTE) Aluminium z edycji PRODUCT(RED) z paskiem sportowym z edycji PRODUCT(RED)";"M09C3WB/A";"Produkt niedostępny";"Apple Watch series 6";""
"5614";"Apple Watch Series 6 44mm GPS + Cellular (LTE) Stal nierdzewna w kolorze srebrnym z paskiem sportowym w kolorze białym";"M09D3WB/A";"Produkt niedostępny";"Apple Watch series 6";""
"5615";"Apple Watch Series 6 44mm GPS + Cellular (LTE) Stal nierdzewna w kolorze złotym z paskiem sportowym w kolorze cypryjskiej zieleni";"M09F3WB/A";"Produkt niedostępny";"Apple Watch series 6";""
"5616";"Apple Watch Series 6 44mm GPS + Cellular (LTE) Stal nierdzewna w kolorze grafitowym z paskiem sportowym w kolorze czarnym";"M09H3WB/A";"Produkt niedostępny";"Apple Watch series 6";""
"5617";"Apple Watch Series 6 44mm GPS +Cellular (LTE) Stal nierdzewna w kolorze srebrnym z bransoletą mediolańską w kolorze srebrnym";"M09E3WB/A";"Produkt niedostępny";"Apple Watch series 6";""
"5618";"Apple Watch Series 6 44mm GPS + Cellular (LTE) Stal nierdzewna w kolorze złotym z bransoletą mediolańską w kolorze złotym";"M09G3WB/A";"Produkt niedostępny";"Apple Watch series 6";""
"5619";"Apple Watch Series 6 44mm GPS + Cellular (LTE) Stal nierdzewna w kolorze grafitowym z bransoletą mediolańską w kolorze grafitu";"M09J3WB/A";"Produkt niedostępny";"Apple Watch series 6";""
"5620";"Apple Watch Nike Series 6 40mm GPS Aluminium w kolorze gwiezdnej szarości z paskiem sportowym Nike w kolorze antracytu / czarnym";"M00X3WB/A";"Produkt niedostępny";"Apple Watch series 6";""
"5621";"Apple Watch Nike Series 6 40mm GPS Aluminium w kolorze srebrnym z paskiem sportowym Nike w kolorze czystej platyny / czarnym";"M00T3WB/A";"Produkt niedostępny";"Apple Watch series 6";""
"5622";"Apple Watch Nike Series 6 40mm GPS + LTE (cellular) Aluminium w kolorze gwiezdnej szarości z paskiem sportowym Nike w kolorze antracytu / czarnym";"M07E3WB/A";"Produkt niedostępny";"Apple Watch series 6";""
"5623";"Apple Watch Nike Series 6 40mm GPS + LTE (cellular) Aluminium w kolorze srebrnym z paskiem sportowym Nike w kolorze czystej platyny / czarnym";"M07C3WB/A";"Produkt niedostępny";"Apple Watch series 6";""
"5624";"Apple Watch Nike Series 6 44mm GPS Aluminium w kolorze gwiezdnej szarości z paskiem sportowym Nike w kolorze antracytu / czarnym";"MG173WB/A";"Produkt niedostępny";"Apple Watch series 6";""
"5625";"Apple Watch Nike Series 6 44mm GPS Aluminium w kolorze srebrnym z paskiem sportowym Nike w kolorze czystej platyny / czarnym";"MG293WB/A";"Produkt niedostępny";"Apple Watch series 6";""
"5626";"Apple Watch Nike Series 6 44mm GPS + LTE (cellular) Aluminium w kolorze gwiezdnej szarości z paskiem sportowym Nike w kolorze antracytu / czarnym";"M09Y3WB/A";"Produkt niedostępny";"Apple Watch series 6";""
"5627";"Apple Watch Nike Series 6 44mm GPS + LTE (cellular) Aluminium w kolorze srebrnym z paskiem sportowym Nike w kolorze czystej platyny / czarnym";"M09W3WB/A";"Produkt niedostępny";"Apple Watch series 6";""
"5628";"Apple Watch Nike SE 40mm GPS Aluminium w kolorze gwiezdnej szarości z paskiem sportowym Nike w kolorze antracytu / czarnym";"MYYF2WB/A";"Produkt niedostępny";"Apple Watch SE";""
"5629";"Apple Watch Nike SE 40mm GPS Aluminium w kolorze srebrnym z paskiem sportowym Nike w kolorze czystej platyny / czarnym";"MYYD2WB/A";"Produkt niedostępny";"Apple Watch SE";""
"5630";"Apple Watch Nike SE 40mm GPS + LTE (cellular) Aluminium w kolorze gwiezdnej szarości z paskiem sportowym Nike w kolorze antracytu / czarnym";"MG013WB/A";"Produkt niedostępny";"Apple Watch SE";""
"5631";"Apple Watch Nike SE 40mm GPS + LTE (cellular) Aluminium w kolorze srebrnym z paskiem sportowym Nike w kolorze czystej platyny / czarnym";"MYYW2WB/A";"Produkt niedostępny";"Apple Watch SE";""
"5632";"Apple Watch Nike SE 44mm GPS Aluminium w kolorze gwiezdnej szarości z paskiem sportowym Nike w kolorze antracytu / czarnym";"MYYK2WB/A";"Produkt niedostępny";"Apple Watch SE";""
"5633";"Apple Watch Nike SE 44mm GPS Aluminium w kolorze srebrnym z paskiem sportowym Nike w kolorze czystej platyny / czarnym";"MYYH2WB/A";"Produkt niedostępny";"Apple Watch SE";""
"5634";"Apple Watch Nike SE 44mm GPS + LTE (cellular) Aluminium w kolorze gwiezdnej szarości z paskiem sportowym Nike w kolorze antracytu / czarnym";"MG0A3WB/A";"Produkt niedostępny";"Apple Watch SE";""
"5635";"Apple Watch Nike SE 44mm GPS + LTE (cellular) Aluminium w kolorze srebrnym z paskiem sportowym Nike w kolorze czystej platyny / czarnym";"MG083WB/A";"Produkt niedostępny";"Apple Watch SE";""
"5636";"Apple Watch Series 3 38mm GPS Aluminium w kolorze srebrnym z paskiem sportowym w kolorze białym";"MTEY2MP/A";"Produkt niedostępny";"Apple Watch series 3";""
"5637";"Apple Watch Series 3 38mm GPS Aluminium w kolorze gwiezdnej szarości z paskiem sportowym w kolorze czarnym";"MTF02MP/A";"Produkt niedostępny";"Apple Watch series 3";""
"5638";"Apple Watch Series 3 42mm GPS Aluminium w kolorze srebrnym z paskiem sportowym w kolorze białym";"MTF22MP/A";"Produkt niedostępny";"Apple Watch series 3";""
"5639";"Apple Watch Series 3 42mm GPS Aluminium w kolorze gwiezdnej szarości z paskiem sportowym w kolorze czarnym";"MTF32MP/A";"Produkt niedostępny";"Apple Watch series 3";""
"5640";"Apple Watch Series 5 44mm GPS + LTE (cellular) Stal nierdzewna w kolorze gwiezdnej czerni z bransoletą mediolańską";"MWWL2WB/A";"Produkt niedostępny";"Apple Watch series 5";""
"5641";"Apple Watch SE 40mm GPS Aluminium w kolorze złotym z paskiem sportowym w kolorze piaskowego różu - nowy model - Strefa Santander";"MYDN2WB/A/SB";"Produkt niedostępny";"Apple Watch SE";""
"5642";"Apple Watch Series 5 44mm GPS + LTE (cellular) Aluminium w kolorze złotym z paskiem sportowym w kolorze piaskowego różu";"MWWD2WB/A";"Produkt niedostępny";"Apple Watch series 5";""
"5643";"Apple Watch Series 5 44mm GPS + LTE (cellular) Stal nierdzewna w kolorze złotym z paskiem sportowym w kolorze beżowym";"MWWH2WB/A";"Produkt niedostępny";"Apple Watch series 5";""
"5644";"Apple Watch Series 3 / GPS + LTE / Koperta 42mm z aluminium w kolorze gwiezdnej szarości / Pasek sportowy w kolorze czarnym - outlet";"FQKN2B/A/X14";"Produkt niedostępny";"Apple Watch series 3";""
"5645";"Apple Watch SE 40mm GPS Aluminium w kolorze złotym z paskiem sportowym w kolorze piaskowego różu - nowy model - outlet";"MYDN2WB/A/X42";"Produkt niedostępny";"Apple Watch SE";""
"5646";"Apple Watch Series 6 40mm GPS Aluminium w kolorze gwiezdnej szarości z paskiem sportowym w kolorze czarnym - outlet";"MG133WB/A/X41";"Produkt niedostępny";"Apple Watch series 6";""
"5647";"Apple Watch Series 6 40mm GPS + Cellular (LTE) Stal nierdzewna w kolorze grafitowym z paskiem sportowym w kolorze czarnym - outlet";"M06X3WB/A/X33";"Produkt niedostępny";"Apple Watch Outlet";""
"5648";"Apple Watch Series 6 40mm GPS Aluminium w kolorze niebieskim z paskiem sportowym w kolorze głębokiego granatu - outlet";"MG143WB/A/X34";"Produkt niedostępny";;""
"5649";"Apple Watch SE 40mm GPS + LTE (cellular) Aluminium w kolorze gwiezdnej szarości z opaską sportową w kolorze węgla drzewnego - nowy model - outlet";"MYEL2WB/A/X37";"Produkt niedostępny";"Apple Watch SE";""
"5650";"Apple Watch Series 3 / GPS + LTE / Koperta 38mm ze stali nierdzewnej w kolorze gwiezdnej czerni / Pasek sportowy w kolorze czarnym - outlet";"FQLW2B/A/X22";"Produkt niedostępny";"Apple Watch series 3";""
"5651";"testowy / czarny / 256gb / 2GB / angielski";"testowy / czarny / 256gb / 2GB / angielski";"";;""
"5652";"testowy / szary / 256gb / 2GB / angielski";"testowy / szary / 256gb / 2GB / angielski";"";;""
"5653";"testowy / różowy / 256gb / 2GB / angielski";"testowy / różowy / 256gb / 2GB / angielski";"";;""
"5654";"testowy / czarny / 512gb / 2GB / angielski";"testowy / czarny / 512gb / 2GB / angielski";"";;""
"5655";"testowy / szary / 512gb / 2GB / angielski";"testowy / szary / 512gb / 2GB / angielski";"";;""
"5656";"testowy / rozowy / 512gb / 2GB / angielski";"testowy / rozowy / 512gb / 2GB / angielski";"";;""
"5657";"testowy / czarny / 256gb / 4GB / angielski";"testowy / czarny / 256gb / 4GB / angielski-1";"";;""
"5658";"testowy / szary / 256gb / 4GB / angielski";"testowy / szary / 256gb / 4GB / angielski-1-1";"";;""
"5659";"testowy / różowy / 256gb / 4GB / angielski";"testowy / różowy / 256gb / 4GB / angielski";"";;""
"5660";"Apple iPhone Xr 64GB Żółty (Yellow)";"MRY72PM/A";"";"iPhone";""
"5661";"Apple iPhone Xr 64 GB Żółty (Yellow)";"MH6Q3PM/A";"Na zamówienie";"iPhone";"Wysyłka w 14-30 dni"
"5662";"Apple iPhone Xr 64 GB Niebieski (Blue)";"MRYA2PM/A";"";"iPhone";""
"5663";"Apple iPhone Xr 64 GB Niebieski (Blue)";"MH6T3PM/A";"Na zamówienie";"iPhone";"Wysyłka w 14-30 dni"
"5664";"Apple iPhone Xr 64 GB Koralowy (Coral)";"MRY82PM/A";"";"iPhone";""
"5665";"Apple iPhone Xr 64 GB Koralowy (Coral)";"MH6R3PM/A";"Na zamówienie";"iPhone";"Wysyłka w 14-30 dni"
"5666";"Apple iPhone Xr 64 GB Czerwony (Product) RED";"MRY62PM/A";"";"iPhone";""
"5667";"Apple iPhone Xr 64 GB Czerwony (Product) RED";"MH6P3PM/A";"Na zamówienie";"iPhone";"Wysyłka w 14-30 dni"
"5668";"Apple iPhone Xr 64 GB Czarny (Black)";"MRY42PM/A";"";"iPhone";""
"5669";"Apple iPhone Xr 64 GB Biały (White)";"MRY52PM/A";"";"iPhone";""
"5670";"Apple iPhone Xr 64 GB Biały (White)";"MH6N3PM/A";"Na zamówienie";"iPhone";"Wysyłka w 14-30 dni"
"5671";"Apple iPhone Xr 128 GB Żółty (Yellow)";"MRYF2PM/A";"";"iPhone";""
"5672";"Apple iPhone Xr 128 GB Żółty (Yellow)";"MH7P3PM/A";"Na zamówienie";"iPhone";"Wysyłka w 14-30 dni"
"5673";"Apple iPhone Xr 128 GB Niebieski (Blue)";"MRYH2PM/A";"";"iPhone";""
"5674";"Apple iPhone Xr 128 GB Niebieski (Blue)";"MH7R3PM/A";"Na zamówienie";"iPhone";"Wysyłka w 14-30 dni"
"5675";"Apple iPhone Xr 128 GB Koralowy (Coral)";"MRYG2PM/A";"";"iPhone";""
"5676";"Apple iPhone Xr 128 GB Koralowy (Coral)";"MH7Q3PM/A";"Na zamówienie";"iPhone";"Wysyłka w 14-30 dni"
"5677";"Apple iPhone Xr 128 GB Czerwony (Product) RED";"MRYE2PM/A";"";"iPhone";""
"5678";"Apple iPhone Xr 128 GB Czerwony (Product) RED";"MH7N3PM/A";"Na zamówienie";"iPhone";"Wysyłka w 14-30 dni"
"5679";"Apple iPhone Xr 128 GB Czarny (Black)";"MRY92PM/A";"";"iPhone";""
"5680";"Apple iPhone Xr 128 GB Czarny (Black)";"MH7L3PM/A";"Na zamówienie";"iPhone";"Wysyłka w 14-30 dni"
"5681";"Apple iPhone Xr 128 GB Biały (White)";"MRYD2PM/A";"";"iPhone";""
"5682";"Apple iPhone Xr 128 GB Biały (White)";"MH7M3PM/A";"Na zamówienie";"iPhone";"Wysyłka w 14-30 dni"
"5683";"Apple iPhone SE 64 GB Czerwony (Product) RED";"MX9U2PM/A";"";"iPhone";""
"5684";"Apple iPhone SE 64 GB Czerwony (Product) RED";"MHGR3PM/A";"Na zamówienie";"iPhone";"Wysyłka w 14-30 dni"
"5685";"Apple iPhone SE 64 GB Czarny (Black)";"MX9R2PM/A";"";"iPhone";""
"5686";"Apple iPhone SE 64 GB Czarny (Black)";"MHGP3PM/A";"Na zamówienie";"iPhone";"Wysyłka w 14-30 dni"
"5687";"Apple iPhone SE 64 GB Biały (White)";"MX9T2PM/A";"";"iPhone";""
"5688";"Apple iPhone SE 64 GB Biały (White)";"MHGQ3PM/A";"Na zamówienie";"iPhone";"Wysyłka w 14-30 dni"
"5689";"Apple iPhone SE 256 GB Czerwony (Product) RED";"MHGY3PM/A";"Na zamówienie";"iPhone";"Wysyłka w 14-30 dni"
"5690";"Apple iPhone SE 256 GB Czarny (Black)";"MXVT2PM/A";"";"iPhone";""
"5691";"Apple iPhone SE 256 GB Czarny (Black)";"MHGW3PM/A";"Na zamówienie";"iPhone";"Wysyłka w 14-30 dni"
"5692";"Apple iPhone SE 256 GB Biały (White)";"MXVU2PM/A";"";"iPhone";""
"5693";"Apple iPhone SE 256 GB Biały (White)";"MHGX3PM/A";"Na zamówienie";"iPhone";"Wysyłka w 14-30 dni"
"5694";"Apple iPhone SE 128 GB Czerwony (Product) RED";"MXD22PM/A";"";"iPhone";""
"5695";"Apple iPhone SE 128 GB Czerwony (Product) RED";"MHGV3PM/A";"Na zamówienie";"iPhone";"Wysyłka w 24 godziny"
"5696";"Apple iPhone SE 128 GB Czarny (Black)";"MXD02PM/A";"";"iPhone";""
"5697";"Apple iPhone SE 128 GB Czarny (Black)";"MHGT3PM/A";"Na zamówienie";"iPhone";"Wysyłka w 14-30 dni"
"5698";"Apple iPhone SE 128 GB Biały (White)";"MXD12PM/A";"";"iPhone";""
"5699";"Apple iPhone SE 128 GB Biały (White)";"MHGU3PM/A";"Na zamówienie";"iPhone";"Wysyłka w 14-30 dni"
"5700";"Apple iPhone 12 Pro 128 GB Złoty (Gold)";"MGMM3PM/A";"Na zamówienie";"iPhone";"Wysyłka w 14-30 dni"
"5701";"Apple iPhone 12 Pro Max 128 GB Pacyficzny (Pacific Blue)";"MGDA3PM/A";"Na zamówienie";"iPhone";"Wysyłka w 14-30 dni"
